Respondent_Type,Program,School,Department,Organization,Community,Age,Gender,Concern,Concern_Category,Solution,Solution_Category
Other Student,NA,Belize High School,NA,NA,NA,16,Male,Water pollution,Water Pollution,have an automated robot to clean up the sea ,"Technology, Cleanup"
Other Student,NA,Belize High School,NA,NA,NA,14,Female,"Air pollution, and the cutting of the tress","Air Pollution, Deforestation",stop chopping the trees and stop putting chemicals and smoke in the air,"Less Deforestation, Less Pollution"
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Female,Pollution,Pollution,take care of the environment for the animals,Protect Environment
UB Student,Business Science,University of Belize,FMSS,NA,NA,17,Female,Protecting marine life,Marine Life Threats,implement policies,Policy
UB Student,BBIO,University of Belize,NA,NA,NA,21,Female,"Pollution, plastic waste","Pollution, Plastic, Trash","use less single use plastics, make trash cans more available and community outreach","Less Plastic, More Garbage Cans, Community Outreach"
UB Staff/Faculty,NA,University of Belize,UB Admissions,NA,NA,32,Female,Pollution,Pollution,have campaigns to educate children from a young age,"Education, Campaigns"
UB Student,BMAB,University of Belize,FST,NA,NA,23,Male,Pollution,Pollution,proper disposal,Waste Management
UB Staff/Faculty,ABIO,University of Belize,FST,UB,San Ignacio,29,Female,Marine Resources misuse/abuse,Misuse of Natural Resources,proper enforcement of regulations,Enforcement
UB Staff/Faculty,NA,University of Belize,FST,NA,NA,48,Male,Data sharing for environemental data colection from government funded projects including NGO's,Data Hoarding,Data sharing bill,Policy
Other Student,NA,Belize High School,NA,NA,NA,15,Male,Water Pollution,Water Pollution,use robotics to either clean and collect the trash or clean the corals themselves,"Technology, Cleanup"
Other Student,NA,Belize High School,NA,NA,NA,NA,Female,Land pollution,Pollution,Better Waste management,Waste Management
UB Student,Business Science,University of Belize,NA,NA,NA,NA,Female,Plastic polution on the marine ecosystem,"Plastic, Water Pollution, Marine Life Threats",legal and political reforms and indivividual use of plastic awareness can solve the issue,"Policy, Less Plastic, Awareness"
UB Student,NA,University of Belize,NA,NA,NA,21,Female,Waste Disposal and land pollution,"Improper Waste Disposal, Pollution",place more garbage bins and collect garbage more frequently,"More Garbage Cans, Waste Management"
Other Student,NA,Belize High School,NA,NA,NA,16,Male,Littering and illegal animal hunting,"Trash, Poaching",don't litter and protect the animals,"Don't Litter, Protect Wildlife"
Other Student,NA,Belize High School,NA,NA,NA,NA,Male,Increase in sargassum ,Sargassum,have a new collecting station that holds sargassum and turn it into bio buel,Biofuel from Sargassum
Other Student,NA,NA,NA,NA,NA,17,Male,Ecosystem and animal health,"Wildlife Health, Ecosystem Health",keeping rules for the community,Policy
UB Student,ABIO,University of Belize,FST,NA,NA,19,Female,"Protecting the sea, animals and rainforest",Protecting of Natural Resources,have less pollution,Less Pollution
Other Professionals,NA,NA,NA,TREES,NA,26,Female,Lack of awareness and no funds for capacity building,"Lack of Funds, Lack of Awareness",outreach programs,Community Outreach
UB Student,IT,University of Belize,FST,NA,NA,NA,Male,Pollution,Pollution,Enforce laws,Enforcement
UB Student,CJC,University of Belize,Management and Social Sciences,NA,NA,17,Male,Manatees,Manatees,Enforce protection and harshly punish endangerment of manatees,Enforcement
UB Student,FHS,University of Belize,NA,NA,NA,19,Female,Pollution in the rivers which leads to the sea,"Water Pollution, Pollution","Recycle, reuse, reduce","Recycle, Reuse, Reduce"
UB Student,Certificate in Nursing,University of Belize,Health and Science,NA,Belize City,18,Female,The animals being killed by reckless drivers,Roadkill,Cameras in hotspot areas,Camera Monitoring
UB Student,Biology and Chemistry,University of Belize,NA,NA,NA,18,Male,Pollution and deforestation,"Pollution, Deforestation",Maybe spreading more awareness or charging for pollution (people can be stubborn),"Awareness, Policy, Fees"
UB Student,Pre-Medical Science,University of Belize,Science,NA,NA,19,Female,"Pollution in the ocean, gas spilling and oil spilling that's killing the marine life, as well as gun violence","Water Pollution, Pollution, Oil Spills, Poaching",Have better gun control,Gun Control
UB Student,Building and Civil Engineering,University of Belize,FST,NA,NA,26,Male,Too much garbage around the street corners and road cleanup. Do campaigns to let people know for they stop throw garbage.,Trash,Do campaigns in district villages promotoe school to know of the situation and garbage and educate them,"Community Outreach, Education, Campaigns"
UB Staff/Faculty,NA,University of Belize,FST,NA,NA,28,Female,Pollution,Pollution,"Harsher punishments for individuals that litter, more garbage cans available so you can adequetely dispose of garbage, education on the dangers of pollution","Policy, Fees, More Garbage Cans, Education"
UB Student,BMAB,University of Belize,NA,NA,NA,22,Female,Coastal development,Urban Development,Having MPAs set along with restrictions on where you can build,"More Protected Areas, Policy"
UB Student,Biochemistry,University of Belize,NA,NA,NA,19,Male,Overhunting and road killing,"Overhunting, Roadkill","Have consitutional laws, heavier enfrorcement","Policy, Enforcement"
UB Student,BNUR,University of Belize,NA,NA,NA,NA,Female,Tree conservation,Deforestation,Campaigns for the plantation to protect our natural habitat,"Campaigns, Protect Habitats"
UB Student,ANRM,University of Belize,NA,NA,NA,17,Female,"Coral bleaching, deforestation","Coral Bleaching, Deforestation",Larger and heavier protected areas,"More Protected Areas, Policy"
UB Student,Criminal Justice,University of Belize,NA,NA,NA,NA,Female,The unprotected wildlife and animals,Wildlife Health,Reserve and buildings,More Protected Areas
UB Student,BNUR,University of Belize,NA,NA,NA,21,Male,"Deforestation, pollution","Pollution, Deforestation",Limit pollution,Less Pollution
UB Student,Civil Engineering,University of Belize,NA,NA,NA,21,Male,Pollution,Pollution,Recreational programs in schools and communities,Education
UB Student,BS,University of Belize,Management and Social Sciences,NA,NA,18,Male,River pollution,Water Pollution,Stop polluting,Less Pollution
UB Student,Pre-Medical Science,University of Belize,FSST,NA,NA,NA,Female,Capturing and illegally killing of wildlife or other endangered species,Poaching,More education in schools about the importance of endangered species,Education
UB Student,Med Lab,University of Belize,NA,NA,NA,25,Female,Unknown,NA,Education,Education
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,To take care of the animals,Wildlife Heath,To help animals in need and take care of the wildlife,"Protect Wildlife, Help Animals"
UB Student,Marine Biology,University of Belize,FST,NA,NA,18,Female,The having of plastics but not being decomposed,"Plastic, Trash",Have stronger implementation of the no plastic laws and more recyling projects or factories,"Enforcement, Less Plastic, Recyle"
Other Professionals,NA,NA,NA,NA,NA,27,Female,"Ocean pollution, improper hunting","Water Pollution, Poaching","Limiting hunting, promote anti-plastic usage (be serious about it)","Less Hunting, Less Plastic"
Other Professionals,NA,NA,NA,Government of Belize,NA,22,Male,"Littering, Climate Change","Trash, Climate Change",Stricter laws and penalties,"Policy, Enforcement"
UB Student,BNUR,University of Belize,Faculty of Health Science,NA,NA,19,Female,"Concerns regarding pollution, cutting of trees, etc.","Pollution, Deforestation","Educate, inform, and make strict rules to improve conditions","Education, Policy, Enforcement"
UB Student,NA,NA,NA,NA,NA,19,Female,Pollution,Pollution,Trash bins on every street etc.,More Garbage Cans
UB Student,Biology and Chemistry,NA,NA,NA,NA,16,Female,I think the most important thing would be to protect our native species. The coral reef as well.,"Coral Reefs, Wildlife Health",Research,Research
UB Student,Biology,University of Belize,FST,NA,NA,20,Female,Pollution,Pollution,Enforce laws,Enforcement
UB Student,BBIO,University of Belize,FST,NA,NA,24,Female,Pollution,Pollution,Laws to stop pollution,Policy
UB Student,FHS,University of Belize,Science,NA,NA,19,Female,Land pollution,Pollution,Cleanups,Cleanup
UB Staff/Faculty,NA,University of Belize,Science,NA,NA,24,Male,Mercury in fresh water,Water Pollution,More research in bioremediation,"Research, Bioremediation"
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,"Destroying the animals habitat, roadkilling","Habitat Loss, Roadkill",Being more attentive and mindful,Awareness
UB Student,Med Lab,University of Belize,Health and Science,NA,NA,21,Female,Coral bleaching,Coral Bleaching,Supporting organizations such as fragments of hope who aid in restoring coral populations,"Financial Support, Coral Restoration"
Community Members,NA,NA,NA,NA,Belize City,NA,Female,Poaching and road accidents,"Poaching, Roadkill","More outreach and communication with the communities on their level, and hire from the villages, they will help","Community Outreach, Hire from Communities"
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,To help the animal in need,Wildlife Health,Help the animals,Help Animals
Other Student,NA,Belmopan Baptist High School,NA,NA,NA,15,Female,Unknown,NA,Take care of them from time to time,NA
UB Student,Marine Biology,NA,NA,NA,NA,NA,Male,Coastal development and removal of mangroves,"Urban Development, Mangrove Loss, Deforestation",Plant more mangroves and reduce deforestation,"Plant Mangroves, Plant Trees, Reduce Deforestation"
Other Student,NA,Belmopan Baptist High School,NA,NA,NA,14,Female,"Pollution, because it will destroy the ecosystem and the balance of nature",Pollution,Practice civic pride,Personal Responsibility
Other Student,NA,Cayo Christian Academy,NA,NA,NA,16,Male,Single use plastics,Plastic,"Biodegradable plates and spoons, spread awareness","Awareness, Biodegradable, Sustainable Alternatives"
UB Student,FST,NA,NA,NA,NA,20,Female,Different types of pollutions,Pollution,"Reduce, reuse, recycle","Reduce, Reuse, Recycle"
UB Staff/Faculty,NA,University of Belize,UB-ERI,NA,NA,25,Male,Climate change,Climate Change,More education on why the environment is important and how it works,Education
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,Taking care of the animals and not killing them,Wildlife Health,To help animals in need and to take care of them,Help Animals
UB Student,ABCB,University of Belize,NA,NA,NA,33,Male,I think that land fragmenation that is leading to land deforestation is a huge concern,"Fragmentation, Deforestation",Implementing laws towards ownership that not prohibit but allow with given condition,Policy
Other Student,NA,Belize High School,NA,NA,NA,16,Male,The hunting of endangered species,"Poaching, Overhunting",Hunting laws,Policy
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,The animals should be our main priority because without the animals we wouldn't be the same,Wildlife Health,"More protection for the beautiful, unique animals",Protect Wildlife
UB Student,NA,NA,NA,NA,NA,18,Female,Stray animals that do not have enough care and keep on reproducing,"Stray Animals, Wildlife Health",Catch and release,Catch and Release
UB Student,Marine Biology,University of Belize,FST,NA,NA,17,Female,The most important concern I think is the lack of laws for the environment,Lack of Policy,More awareness and representatives,Awareness
Other Student,NA,Cayo Christian Academy,NA,NA,Roaring Creek,NA,Male,Garbage is the most environmental concern in Belize,Trash,By following all garbage rules and stop the pollution,"Following Policy, Less Pollution"
UB Staff/Faculty,BMAB,University of Belize,Faculty of Science and Technology,NA,NA,24,Male,Pollution,Pollution,Community awareness and education on the topic,"Awareness, Education"
Other Student,NA,Cayo Christian Academy,NA,NA,NA,15,Female,Taking care of the animals,Wildlife Health,Less killing of the animals,Protect Wildlife
UB Staff/Faculty,NA,NA,NA,NA,NA,NA,Male,Waste water management practices,"Improper Waste Disposal, Waste Water Management","To properly plan the flow, storage, and treatment so the residue doesn't end up in our oceans",Waste Management
UB Staff/Faculty,NA,University of Belize,FST,NA,NA,22,Male,"Plastic use and water, lack of solid waste waste management and public awareness","Plastic, Water Pollution, Waste Water Management, Improper Waste Disposal","Better, stricter, environmental laws and policy must be implemented and enforced. Also public outreach and education","Policy, Enforcement, Community Outreach, Education"
UB Staff/Faculty,NA,University of Belize,UB-ERI,NA,NA,26,Female,Mismanagement and giving away or selling our resources,"Misuse of Natural Resources, Corruption","More portected areas enforcement in existing protected areas, education, research","More Protected Areas, Enforcement, Education, Research"
UB Student,Marine Biology,University of Belize,FST,NA,NA,23,Female,Unsustainable fishing,Overfishing,"Fisher community educational outreach, sustainable alternatives","Community Outreach, Education, Sustainable Alternatives"
UB Staff/Faculty,NA,University of Belize,UB-ERI,NA,NA,27,Male,Inclusion of communities in environmental decisions,Lack of Inclusion,More invitations of communities to national discussions,Community Outreach
UB Staff/Faculty,NA,University of Belize,UB-ERI,NA,NA,24,Male,Coral loss,Coral Reefs,Invest in modern programs to reproduce and plant coral,Coral Restoration
